case,method,mse,nmse,cvar,activation_mse,a16_mse,weighted_loss,scale_mean,scale_p99,pollution_mean,pollution_p99,loss_fw,loss_cross,loss_fa,cross_over_total,identity_error,route_gain,route_scale
stable_scattered_tail,v2,0.05959971621632576,0.001704614725895226,0.3289182186126709,0.03864214941859245,0.021165505051612854,0.05959971621632576,0.13441656529903412,0.9778038263320923,2.2538504600524902,3.9333856105804443,1040.3267822265625,-10.22076416015625,1899.3389892578125,-0.003488975922009553,1.6668045077494753e-07,0.0,0.0
stable_scattered_tail,v2_plus,0.056268367916345596,0.001609334722161293,0.32448652386665344,0.03884856402873993,0.017456719651818275,0.056268367916345596,0.13441656529903412,0.9778038263320923,2.2538504600524902,3.9333856105804443,858.03271484375,-1.8140989542007446,1909.484619140625,-0.0006559268555625415,0.0,0.04565807431936264,0.5
stable_scattered_tail,v3_sort,0.08187304437160492,0.0023416555486619473,0.6077353358268738,0.049865901470184326,0.030781656503677368,0.08187304437160492,0.13038776814937592,0.977026641368866,2.2162013053894043,3.8988094329833984,1512.979736328125,60.235374450683594,2451.009033203125,0.014968197582147177,1.2133551763326977e-07,0.0840914249420166,0.5
stable_scattered_tail,v3_cost,0.05095267295837402,0.0014573001535609365,0.2949552834033966,0.031523268669843674,0.019151488319039345,0.05095267295837402,0.13487699627876282,0.9778038263320923,2.264561653137207,3.95261812210083,941.333740234375,13.65999984741211,1549.4317626953125,0.005454344577231302,0.0,0.06995837390422821,1.0
stable_scattered_tail,v3_full,0.04982821270823479,0.001425139489583671,0.23306789994239807,0.02944616973400116,0.020511949434876442,0.04982821270823479,0.13130240142345428,0.8565570116043091,2.2614567279815674,3.925490379333496,1008.203125,-6.385101318359375,1447.338134765625,-0.0026070616435188137,0.0,0.060926295816898346,1.0
stable_scattered_tail,v3_block_hadamard,0.035164859145879745,0.0010057521285489202,0.1332511156797409,0.019098807126283646,0.015751035884022713,0.035164859145879745,0.1094384491443634,0.29448238015174866,2.068035125732422,2.902047872543335,774.195068359375,15.483620643615723,938.7446899414062,0.008958233950378989,0.0,0.08901314437389374,1.0
stable_scattered_tail,g_half_reference,0.038709547370672226,0.00110713392496109,0.18797940015792847,0.021600807085633278,0.01694129779934883,0.038709547370672226,0.10525667667388916,0.8414889574050903,1.9076566696166992,2.7935397624969482,832.6986694335938,8.229974746704102,1061.7230224609375,0.004325528735626284,6.415798736725264e-08,0.08870138227939606,1.0
sensitivity_mismatch,v2,0.09262455254793167,0.001107355346903205,1.0475555658340454,0.06261349469423294,0.0315929539501667,0.09262455254793167,0.20879323780536652,1.3288824558258057,2.37966251373291,3.9670491218566895,1552.857421875,-77.75377655029297,3077.578369140625,-0.017078674580993155,0.0,0.0,0.0
sensitivity_mismatch,v2_plus,0.09085029363632202,0.001086143427528441,1.052079439163208,0.06265715509653091,0.028597017750144005,0.09085029363632202,0.20879323780536652,1.3288824558258057,2.37966251373291,3.9670491218566895,1405.6005859375,-19.852659225463867,3079.724365234375,-0.004445813635803487,1.0934592609146421e-07,0.09633676707744598,0.5
sensitivity_mismatch,v3_sort,0.17684948444366455,0.002114290604367852,1.4469449520111084,0.11691141128540039,0.06179596111178398,0.17684948444366455,0.14541664719581604,1.2133101224899292,2.2143564224243164,3.9420952796936035,3037.3935546875,-91.3188247680664,5746.4287109375,-0.010505466000874496,2.2469068028385664e-07,0.274517685174942,1.0
